OnSet,Duration,Notation
12833.300,11.000,FlatLine
12856.900,15.500,FlatLine
12882.900,18.400,FlatLine
12913.700,18.800,FlatLine
12945.300,17.200,FlatLine
12975.000,18.400,FlatLine
13005.600,17.200,FlatLine
13039.600,12.500,FlatLine
13065.700,16.300,FlatLine
13097.300,14.000,FlatLine
13127.600,19.400,FlatLine
13159.000,16.100,FlatLine
13186.500,20.000,FlatLine
13225.300,12.300,FlatLine
13253.400,16.500,FlatLine
13284.800,13.100,FlatLine
13303.800,19.400,FlatLine
13333.800,19.600,FlatLine
13365.900,17.000,FlatLine
13392.300,21.000,FlatLine
13424.400,18.100,FlatLine
13452.200,18.600,FlatLine
13481.900,16.500,FlatLine
13511.100,18.700,FlatLine
13540.100,17.300,FlatLine
13573.400,16.000,FlatLine
13600.200,18.800,FlatLine
13634.800,13.600,FlatLine
13668.200,14.400,FlatLine
13691.100,18.500,FlatLine
13721.300,17.300,FlatLine
13752.100,19.600,FlatLine
13785.800,19.800,FlatLine
13815.300,17.300,FlatLine
13852.400,16.800,FlatLine
13882.200,21.100,FlatLine
13927.100,12.900,FlatLine
13953.500,20.200,FlatLine
13984.800,21.100,FlatLine
14025.400,15.800,FlatLine
14057.300,16.200,FlatLine
14090.600,18.800,FlatLine
14124.300,16.200,FlatLine
14150.200,17.400,FlatLine
14181.800,20.900,FlatLine
14211.200,18.200,FlatLine
14241.200,19.600,FlatLine
14274.900,21.500,FlatLine
14310.500,19.300,FlatLine
14338.400,15.400,FlatLine
14361.500,18.900,FlatLine
14389.100,17.200,FlatLine
14414.700,18.700,FlatLine
14476.100,18.000,FlatLine
14508.100,18.900,FlatLine
14535.300,15.500,FlatLine
14561.600,19.800,FlatLine
14622.900,19.000,FlatLine
14657.100,14.900,FlatLine
14691.900,15.000,FlatLine
14721.200,19.100,FlatLine
14753.400,21.700,FlatLine
14811.900,20.100,FlatLine
14849.600,14.800,FlatLine
14877.100,22.900,FlatLine
14914.800,19.700,FlatLine
14942.600,16.700,FlatLine
14967.900,17.100,FlatLine
15035.000,10.900,FlatLine
15058.800,19.400,FlatLine
15091.800,18.000,FlatLine
15118.000,20.500,FlatLine
15153.400,11.100,FlatLine
15172.500,12.600,FlatLine
15191.500,19.000,FlatLine
15225.000,18.200,FlatLine
15251.900,21.400,FlatLine
15306.200,14.300,FlatLine
15333.000,17.200,FlatLine
15356.400,19.900,FlatLine
15385.000,18.900,FlatLine
15415.300,13.800,FlatLine
15441.000,13.200,FlatLine
15464.300,17.200,FlatLine
15488.500,18.800,FlatLine
15518.000,16.000,FlatLine
15565.000,13.000,FlatLine
15589.700,10.700,FlatLine
15616.100,18.800,FlatLine
15651.100,22.400,FlatLine
15680.700,19.700,FlatLine
15714.600,19.700,FlatLine
15754.500,15.600,FlatLine
15781.300,21.900,FlatLine
15873.800,14.500,FlatLine
15898.200,19.700,FlatLine
15930.400,18.500,FlatLine
15963.500,16.800,FlatLine
15990.700,16.000,FlatLine
16022.900,16.600,FlatLine
16064.000,181.600,FlatLine
16247.400,50.700,FlatLine
