dataset,apnea type,excerpt,try1,try2,try3,3/26 notes,# osa,# osahs,# other,accuracy,"# pos, # neg sequences (asterisk means predicting all 0s)",timesteps,epochs,batch size,threshold
dreams,hypopnea,osahs_excerpt7,"Dataset: dreams, Excerpt: osahs_excerpt7
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.00      0.00      0.00        22
           0       0.76      1.00      0.86        68

    accuracy                           0.76        90
   macro avg       0.38      0.50      0.43        90
weighted avg       0.57      0.76      0.65        90
 
 TP: 0
 TN: 68
 FP: 0
 FN: 22
********************************************************",,,"113+,342-, train loss: 0.4428 - train accuracy: 0.7335. Predict all 0s",,113,,X,"113+,342- *",160,10,16,0.7
dreams,hypopnea,osahs_excerpt8,"Dataset: dreams, Excerpt: osahs_excerpt8
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.00      0.00      0.00         2
           0       0.99      1.00      0.99       153

    accuracy                           0.99       155
   macro avg       0.49      0.50      0.50       155
weighted avg       0.97      0.99      0.98       155
 
 TP: 0
 TN: 153
 FP: 0
 FN: 2
********************************************************",,,"Overfitting ",,12,,X,"11+,766- * (overfit)",160,10,16,0.7
dreams,hypopnea,osahs_all,,,,,,,,X,"across all patients *",160,10,32,0.7
dublin,all,all_ucddb2,"Dataset: dublin, Excerpt: all_ucddb2
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.00      0.00      0.00        24
           0       0.70      1.00      0.82        56

    accuracy                           0.70        80
   macro avg       0.35      0.50      0.41        80
weighted avg       0.49      0.70      0.58        80
 
 TP: 0
 TN: 56
 FP: 0
 FN: 24",,,,7,115,,X,"123+,282- *",160,15,32,0.7
dublin,all,all_ucddb3,"Dataset: dublin, Excerpt: all_ucddb3
********************************************************
Results: 
               precision    recall  f1-score   support

           1       1.00      0.14      0.25        57
           0       0.62      1.00      0.77        80

    accuracy                           0.64       137
   macro avg       0.81      0.57      0.51       137
weighted avg       0.78      0.64      0.55       137
 
 TP: 8
 TN: 80
 FP: 0
 FN: 49","""Dataset: dublin, Excerpt: all_ucddb3
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.90      0.49      0.64        57
           0       0.73      0.96      0.83        80

    accuracy                           0.77       137
   macro avg       0.81      0.73      0.73       137
weighted avg       0.80      0.77      0.75       137
 
 TP: 28
 TN: 77
 FP: 3
 FN: 29""","Dataset: dublin, Excerpt: all_ucddb3
********************************************************
Results: 
               precision    recall  f1-score   support

           1       1.00      0.21      0.35        61
           0       0.62      1.00      0.77        80

    accuracy                           0.66       141
   macro avg       0.81      0.61      0.56       141
weighted avg       0.79      0.66      0.59       141
 
 TP: 13
 TN: 80
 FP: 0
 FN: 48
********************************************************",,28,268,,83.2,"306+,401-, sometimes predict 0 for apnea event",160,15,32,0.7
dublin,all,all_ucddb5,"Dataset: dublin, Excerpt: all_ucddb5
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.00      0.00      0.00        11
           0       0.82      1.00      0.90        49

    accuracy                           0.82        60
   macro avg       0.41      0.50      0.45        60
weighted avg       0.67      0.82      0.73        60
 
 TP: 0
 TN: 49
 FP: 0
 FN: 11","aset: dublin, Excerpt: all_ucddb5
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.00      0.00      0.00        11
           0       0.82      1.00      0.90        49

    accuracy                           0.82        60
   macro avg       0.41      0.50      0.45        60
weighted avg       0.67      0.82      0.73        60
 
 TP: 0
 TN: 49
 FP: 0
 FN: 11","Dataset: dublin, Excerpt: all_ucddb5
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.00      0.00      0.00        11
           0       0.82      1.00      0.90        49

    accuracy                           0.82        60
   macro avg       0.41      0.50      0.45        60
weighted avg       0.67      0.82      0.73        60
 
 TP: 0
 TN: 49
 FP: 0
 FN: 11
****************",,0,56,0,X,"56+,649- *",160,10,32,0.7
dublin,all,"all_ucddb6 ( 120) ","Dataset: dublin, Excerpt: all_ucddb6
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.84      0.73      0.78        44
           0       0.73      0.84      0.78        38

    accuracy                           0.78        82
   macro avg       0.78      0.78      0.78        82
weighted avg       0.79      0.78      0.78        82
 
 TP: 32
 TN: 32
 FP: 6
 FN: 12
**************","Dataset: dublin, Excerpt: all_ucddb6
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.97      0.68      0.80        44
           0       0.73      0.97      0.83        38

    accuracy                           0.82        82
   macro avg       0.85      0.83      0.82        82
weighted avg       0.86      0.82      0.81        82
 
 TP: 30
 TN: 37
 FP: 1
 FN: 14","Dataset: dublin, Excerpt: all_ucddb6
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.94      0.77      0.85        44
           0       0.78      0.95      0.86        38

    accuracy                           0.85        82
   macro avg       0.86      0.86      0.85        82
weighted avg       0.87      0.85      0.85        82
 
 TP: 34
 TN: 36
 FP: 2
 FN: 10",,0,127,,60,"300+,452-, sometimes predict 0 for apnea event",160,15,32,0.7
dublin,all,all_ucddb7,"Dataset: dublin, Excerpt: all_ucddb7
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.60      0.21      0.32        14
           0       0.90      0.98      0.94        98

    accuracy                           0.88       112
   macro avg       0.75      0.60      0.63       112
weighted avg       0.86      0.88      0.86       112
 
 TP: 3
 TN: 96
 FP: 2
 FN: 11",,,,16,54,,60,"73+,494- sometimes predict 0 for apnea event",160,15,32,0.7
dublin,all,all_ucddb8,,,,,0,18,,X,"18+,176- *",160,10,16,0.7
dublin,all,all_ucddb9,,,,,3,61,,X,"77+,594- *",160,10,16,0.7
dublin,all,all_ucddb10,,,,,2,229,,X,"233+,456-, predict all 0",160,10,16,0.7
dublin,all,all_ucddb11,,,,,0,35,,X,"34+,217- *",160,10,16,0.7
dublin,all,all_ucddb12,"Dataset: dublin, Excerpt: all_ucddb12
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.75      0.70      0.72        30
           0       0.90      0.92      0.91        90

    accuracy                           0.87       120
   macro avg       0.83      0.81      0.82       120
weighted avg       0.86      0.87      0.87       120
 
 TP: 21
 TN: 83
 FP: 7
 FN: 9",,,,25,110,,85,"152+,450-",160,10,16,0.7
dublin,all,all_ucddb14,x,,,,1,179,,X,"182+,478- *",160,10,16,0.7
dublin,all,all_ucddb19,"Dataset: dublin, Excerpt: all_ucddb19
********************************************************
Results: 
               precision    recall  f1-score   support

           1       1.00      0.25      0.40        20
           0       0.86      1.00      0.92        92

    accuracy                           0.87       112
   macro avg       0.93      0.62      0.66       112
weighted avg       0.88      0.87      0.83       112
 
 TP: 5
 TN: 92
 FP: 0
 FN: 15",,"Using Recurrent Dropout, 128->64",,22,79,,<80,"105+,463-, sometimes predicts 1 for apnea",160,10,16,0.7
dublin,all,all_ucddb25,"Dataset: dublin, Excerpt: all_ucddb25
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.82      0.91      0.86        77
           0       0.74      0.57      0.65        35

    accuracy                           0.80       112
   macro avg       0.78      0.74      0.75       112
weighted avg       0.80      0.80      0.80       112
 
 TP: 70
 TN: 20
 FP: 15
 FN: 7",,,"435+,176-. Loss at 0.5, accuracy at 0.7 (worsens over time). Retrain with bs=32,ep=5, predicts relatively well",29,222,,80,"435+,176-, some false positives",160,10,32,0.7
dublin,all,all_ucddb27,"Dataset: dublin, Excerpt: all_ucddb27
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.88      0.42      0.57        33
           0       0.83      0.98      0.90        95

    accuracy                           0.84       128
   macro avg       0.85      0.70      0.73       128
weighted avg       0.84      0.84      0.81       128
 
 TP: 14
 TN: 93
 FP: 2
 FN: 19",,,"409+,478-. train bs=16,ep=10. Loss plateaus at 0.45, acc plateaus = 0.82.Many false neg (but captures overall apnea event timeframe) TN: 93, FP: 2, FN: 18, TP: 15",49,197,,85,"409+,478-",160,10,16,0.7
mit,apnea+hypopnea,mit_slp37_norm (nonlinear),"********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.94      0.67      0.78        51
           0       0.67      0.95      0.79        37

    accuracy                           0.78        88
   macro avg       0.81      0.81      0.78        88
weighted avg       0.83      0.78      0.78        88
 
 TP: 34
 TN: 35
 FP: 2
 FN: 17",,,,429,0,,89,"scale data * 100",150,10,16,0.7
mit,apnea+hypopnea,mit_slp_61_norm,"Dataset: mit, Excerpt: mit_slp61_norm
********************************************************
Results: 
               precision    recall  f1-score   support

           1       0.94      0.46      0.62        37
           0       0.79      0.99      0.88        75

    accuracy                           0.81       112
   macro avg       0.87      0.72      0.75       112
weighted avg       0.84      0.81      0.79       112
 
 TP: 17
 TN: 74
 FP: 1
 FN: 20
********************************************************",,,,155,34,,85.7,"scale data * 100",150,15,32,0.7
"mit ",apnea+hypopnea,mit_slp37_norm (linear),,,,,429,0,,87,"scale data * 100",150,10,16,0.7
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
